Date,Open,High,Low,Close,Volume,Adj Close
2015-01-26,223900.00,224517.00,222432.00,224184.00,100,224184.00
2015-01-23,224800.00,224800.00,223680.00,223751.00,100,223751.00
2015-01-22,222495.00,225214.00,221020.00,224915.00,400,224915.00
2015-01-21,222039.00,222500.00,220000.00,220895.00,300,220895.00
2015-01-20,224000.00,225441.00,222208.00,222636.00,400,222636.00
2015-01-16,220990.00,223779.00,220105.00,223615.00,200,223615.00
2015-01-15,222505.00,223000.00,220839.00,221510.00,200,221510.00
2015-01-14,221005.00,222577.00,219779.00,221878.00,800,221878.00
2015-01-13,224849.00,226420.00,221802.00,223000.00,600,223000.00
2015-01-12,225495.00,225495.00,222083.00,222424.00,200,222424.00
2015-01-09,227500.00,227500.00,223968.00,224675.00,200,224675.00
2015-01-08,226124.00,226949.00,224000.00,226680.00,600,226680.00
2015-01-07,222500.00,223536.00,220000.00,223480.00,400,223480.00
2015-01-06,221110.00,222870.00,219266.00,220450.00,400,220450.00
2015-01-05,223595.00,223595.00,220000.00,220980.00,500,220980.00
2015-01-02,227230.00,227470.00,222735.00,223600.00,300,223600.00
2014-12-31,228180.00,228870.00,225403.00,226000.00,200,226000.00
2014-12-30,227351.00,228285.00,226550.00,228255.00,200,228255.00
2014-12-29,226500.00,228350.00,226500.00,228165.00,200,228165.00
2014-12-26,227301.00,228070.00,226500.00,226500.00,200,226500.00
2014-12-24,227900.00,228520.00,226515.00,226515.00,300,226515.00
2014-12-23,227840.00,229000.00,227530.00,227630.00,400,227630.00
2014-12-22,227651.00,228680.00,226795.00,227720.00,200,227720.00
2014-12-19,228152.00,228495.00,226294.00,227886.00,400,227886.00
2014-12-18,226700.00,229300.00,225299.00,229300.00,700,229300.00
2014-12-17,219000.00,222800.00,218427.00,222800.00,600,222800.00
2014-12-16,218215.00,222980.00,215500.00,218460.00,700,218460.00
2014-12-15,222121.00,222519.00,217178.00,219073.00,500,219073.00
2014-12-12,224000.00,224750.00,219000.00,219000.00,400,219000.00
2014-12-11,224180.00,226836.00,224180.00,224800.00,400,224800.00
2014-12-10,225400.00,226816.00,223304.00,223650.00,1300,223650.00
2014-12-09,226300.00,226489.00,223391.00,225334.00,1000,225334.00
2014-12-08,226285.00,229374.00,226150.00,227800.00,1000,227800.00
2014-12-05,225650.00,225981.00,225021.00,225640.00,300,225640.00
2014-12-04,224950.00,225215.00,223915.00,225215.00,300,225215.00
2014-12-03,225900.00,225900.00,224350.00,224485.00,200,224485.00
2014-12-02,223800.00,225000.00,223020.00,225000.00,200,225000.00
2014-12-01,223100.00,224671.00,222361.00,222525.00,200,222525.00
2014-11-28,222705.00,224070.00,222669.00,223065.00,200,223065.00
2014-11-26,222299.00,222451.00,221965.00,222411.00,100,222411.00
2014-11-25,221315.00,222000.00,221100.00,221725.00,300,221725.00
2014-11-24,220575.00,221130.00,219455.00,221052.00,200,221052.00
2014-11-21,220300.00,220369.00,219400.00,219935.00,200,219935.00
2014-11-20,217800.00,218609.00,217300.00,218250.00,100,218250.00
2014-11-19,218799.00,218799.00,217576.00,218544.00,200,218544.00
2014-11-18,218540.00,219610.00,218275.00,218868.00,200,218868.00
2014-11-17,218545.00,218545.00,217098.00,218540.00,200,218540.00
2014-11-14,219331.00,219817.00,217646.00,218023.00,300,218023.00
2014-11-13,218656.00,219366.00,218370.00,219300.00,400,219300.00
2014-11-12,217875.00,218544.00,217045.00,218101.00,400,218101.00
2014-11-11,218400.00,218400.00,217214.00,217352.00,100,217352.00
2014-11-10,215899.00,217500.00,215814.00,217500.00,400,217500.00
2014-11-07,215226.00,215925.00,214326.00,214970.00,200,214970.00
2014-11-06,214821.00,214935.00,213400.00,214800.00,200,214800.00
2014-11-05,214799.00,214799.00,212795.00,214155.00,200,214155.00
2014-11-04,211900.00,213250.00,211600.00,213000.00,200,213000.00
2014-11-03,210835.00,211310.00,209000.00,211100.00,200,211100.00
2014-10-31,211028.00,212300.00,209095.00,210000.00,500,210000.00
2014-10-30,209250.00,209813.00,204700.00,209030.00,300,209030.00
2014-10-29,210725.00,210900.00,208400.00,209600.00,300,209600.00
2014-10-28,209500.00,210580.00,209279.00,210570.00,500,210570.00
2014-10-27,208447.00,209410.00,208000.00,209222.00,200,209222.00
2014-10-24,207579.00,209251.00,207535.00,209251.00,300,209251.00
2014-10-23,209000.00,209124.00,207646.00,208109.00,200,208109.00
2014-10-22,208805.00,209000.00,206385.00,206525.00,200,206525.00
2014-10-21,206890.00,208400.00,206270.00,208330.00,400,208330.00
2014-10-20,205303.00,206207.00,204700.00,205850.00,300,205850.00
2014-10-17,203995.00,206437.00,203569.00,205505.00,800,205505.00
2014-10-16,199400.00,203345.00,199195.00,202000.00,400,202000.00
2014-10-15,204614.00,205146.00,198000.00,203800.00,1000,203800.00
2014-10-14,205050.00,208387.00,205000.00,206025.00,800,206025.00
2014-10-13,204920.00,208000.00,204706.00,204913.00,600,204913.00
2014-10-10,206600.00,209190.00,205150.00,205150.00,500,205150.00
2014-10-09,210000.00,210328.00,205750.00,205850.00,500,205850.00
2014-10-08,205000.00,210175.00,205000.00,209950.00,600,209950.00
2014-10-07,208000.00,208000.00,205035.00,205035.00,300,205035.00
2014-10-06,210275.00,210359.00,207997.00,208585.00,300,208585.00
2014-10-03,207450.00,209420.00,207200.00,208750.00,600,208750.00
2014-10-02,205000.00,207500.00,205000.00,206250.00,900,206250.00
2014-10-01,207310.00,207310.00,204400.00,204855.00,400,204855.00
2014-09-30,207451.00,208011.00,206707.00,206900.00,300,206900.00
2014-09-29,207100.00,208016.00,206500.00,207321.00,300,207321.00
2014-09-26,205580.00,208420.00,205580.00,208133.00,300,208133.00
2014-09-25,209900.00,209900.00,205494.00,206000.00,300,206000.00
2014-09-24,208250.00,210021.00,208250.00,209850.00,300,209850.00
2014-09-23,208860.00,209600.00,208183.00,208445.00,300,208445.00
2014-09-22,211079.00,211079.00,208802.00,208900.00,300,208900.00
2014-09-19,213200.00,213612.00,210845.00,212000.00,700,212000.00
2014-09-18,210449.00,212250.00,209734.00,212075.00,400,212075.00
2014-09-17,208612.00,210217.00,208105.00,209000.00,300,209000.00
2014-09-16,206900.00,208415.00,206525.00,207745.00,200,207745.00
2014-09-15,205851.00,207156.00,205602.00,207110.00,300,207110.00
2014-09-12,207099.00,207099.00,205202.00,205635.00,200,205635.00
2014-09-11,206005.00,206930.00,205551.00,206850.00,100,206850.00
2014-09-10,206250.00,206905.00,205600.00,206750.00,200,206750.00
2014-09-09,207499.00,207500.00,205192.00,205305.00,300,205305.00
2014-09-08,207425.00,208341.00,207126.00,207200.00,200,207200.00
2014-09-05,206562.00,207490.00,206110.00,206700.00,200,206700.00
2014-09-04,207250.00,208474.00,206250.00,206820.00,200,206820.00
2014-09-03,207740.00,207740.00,206249.00,206438.00,300,206438.00
2014-09-02,206999.00,207200.00,205630.00,206740.00,400,206740.00
2014-08-29,204050.00,205880.00,204050.00,205880.00,400,205880.00
2014-08-28,204300.00,204640.00,203895.00,204040.00,200,204040.00
2014-08-27,204577.00,205445.00,204000.00,204741.00,400,204741.00
2014-08-26,204880.00,205097.00,204358.00,204577.00,200,204577.00
2014-08-25,204600.00,204999.00,204233.00,204579.00,300,204579.00
2014-08-22,204600.00,204800.00,203455.00,203532.00,300,203532.00
2014-08-21,202799.00,205169.00,202679.00,205159.00,400,205159.00
2014-08-20,202364.00,202600.00,201891.00,202388.00,400,202388.00
2014-08-19,202805.00,202986.00,201941.00,202600.00,300,202600.00
2014-08-18,202400.00,203000.00,202100.00,202419.00,300,202419.00
2014-08-15,203350.00,203355.00,199721.00,201227.00,300,201227.00
2014-08-14,199600.00,203081.00,199600.00,202850.00,600,202850.00
2014-08-13,199960.00,199999.00,198800.00,199609.00,400,199609.00
2014-08-12,197895.00,199799.00,197895.00,199562.00,200,199562.00
2014-08-11,197699.00,199072.00,196500.00,198000.00,200,198000.00
2014-08-08,193850.00,196391.00,193570.00,196253.00,400,196253.00
2014-08-07,194670.00,194800.00,193079.00,194001.00,600,194001.00
2014-08-06,192189.00,194460.00,191890.00,193700.00,200,193700.00
2014-08-05,194500.00,194500.00,191358.00,192499.00,700,192499.00
2014-08-04,192126.00,195005.00,190942.00,194305.00,800,194305.00
2014-08-01,187152.00,190368.00,185005.00,189279.00,400,189279.00
2014-07-31,190807.00,191553.00,188124.00,188124.00,400,188124.00
2014-07-30,191200.00,192549.00,190483.00,191716.00,200,191716.00
2014-07-29,192310.00,192948.00,191083.00,191158.00,200,191158.00
2014-07-28,191120.00,192682.00,190000.00,192580.00,200,192580.00
2014-07-25,192436.00,192436.00,191190.00,191224.00,200,191224.00
2014-07-24,192200.00,192985.00,192107.00,192441.00,100,192441.00
2014-07-23,192577.00,192827.00,192140.00,192205.00,100,192205.00
2014-07-22,193296.00,193450.00,192339.00,192640.00,200,192640.00
2014-07-21,191860.00,193058.00,191554.00,193030.00,100,193030.00
2014-07-18,190860.00,192631.00,190555.00,192487.00,200,192487.00
2014-07-17,191920.00,192101.00,189696.00,189811.00,200,189811.00
2014-07-16,193145.00,193145.00,191849.00,192072.00,100,192072.00
2014-07-15,193480.00,193750.00,192000.00,192776.00,200,192776.00
2014-07-14,193503.00,193860.00,193030.00,193380.00,200,193380.00
2014-07-11,192220.00,193006.00,191945.00,192900.00,100,192900.00
2014-07-10,191911.00,193015.00,191799.00,192500.00,200,192500.00
2014-07-09,192617.00,193249.00,192502.00,193040.00,200,193040.00
2014-07-08,192560.00,193555.00,192295.00,192400.00,300,192400.00
2014-07-07,193333.00,193597.00,192333.00,193000.00,200,193000.00
2014-07-03,191940.00,193649.00,190900.00,193600.00,200,193600.00
2014-07-02,190800.00,191508.00,190333.00,191499.00,200,191499.00
